,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X320155 (Month 8).mp3,-250.25552391772334,81.42937124631653,-70.51774148311583,13.668796176722742,-35.13292264925865,-2.5700441600045054,-12.661096471242889,-4.470779238308525,2.247330644950481,-13.438854174526867,-9.222864308230033,-9.215859453615112,-14.350747710986411
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X330104 (Contact 14).mp3,-562.0987027199825,67.95711721410018,-35.50671774928954,3.568041584107297,2.346445808258638,-17.21755188374397,-3.921185244286455,-5.901046485328991,-1.4157221345246942,-0.8595112020667414,-4.9533508837300415,8.549203190139684,3.3302873305523315
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X330086 (Contact 8).mp3,-418.45672182236495,109.51792054788235,-25.67410274525197,13.693955342840239,17.158536848815928,-7.893224819625443,-10.284288537012245,-16.2081254672734,-4.127120833467863,-11.687220259125652,-21.965687662143132,0.3756835060831191,-0.9647484695531037
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X320189 (Month 8).mp3,-281.4481190709139,91.53803886081985,6.5435060656014725,17.97595549878778,-5.968481585033096,-7.36463127534524,-16.957699261354545,0.8406244249648405,1.5537660593528608,3.322056101233037,-7.456104806226203,-5.049680269347256,2.811803478770691
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X320175 (Month 16).mp3,-269.66142328265255,95.18644184075242,-16.40244750788577,7.520909018102952,-11.80754302198828,-8.420778968843601,-15.688504849905604,-5.393084660984999,-3.0303395593909346,-4.902331602572599,-7.6456337648304125,-1.0884569823798274,-5.738516724938712
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X320152 (Month 12).mp3,-367.8786155636335,57.44525103443536,-0.1435057156748586,29.45320567353869,1.204419755884418,-0.9223418295099729,-11.847880128921846,5.699588151039297,6.993052246441671,-5.778207973945783,0.5558844398229357,13.596953952253918,-7.028407284426415
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X330006 (Contact 6).mp3,-491.48590504982747,112.31380905573585,-44.38436172644677,-12.746051935403894,-4.554754505541031,-13.629567537602659,-1.3186902771671671,-13.529787506068562,-3.768930462276895,5.638145396885522,-9.242786738797845,-6.440299278190442,-4.526682272421402
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X320202 (Month 12).mp3,-245.84418874987884,101.68298182032702,3.8431191286158275,31.98791441045536,-0.3513498856297764,-2.711972363394199,-21.43346095617206,3.4197200808986525,9.017332652029621,2.0192694788275842,-1.8915892545488782,13.480008218882285,3.999701735686043
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X330048 (Contact 2).mp3,-560.6240385274538,80.11451449574666,-53.65173186234883,9.06880740974287,15.411285179558602,-12.526637710391933,-7.437672087731459,-12.342107000400667,0.6356267532958149,1.5748606184826488,-6.442087951242885,3.9753339923673656,-1.6346277099109743
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X330067 (Contact 8).mp3,-360.6186312864637,148.64315293680656,-65.17187413190135,-10.142396978185893,1.2040760960456764,-20.877425342290707,-14.96504505987646,-31.218223366211078,-9.28505237051295,1.3513922497541626,-13.79844521410088,0.8830757584174027,-0.7785261639428526
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X330067 (Contact 17).mp3,-451.888901122486,153.69424318698475,-38.13825656608753,12.942613750404062,1.0742333922457137,-20.013335866358844,-4.155924498380535,-31.34267551681115,-19.146537152357983,-7.72684026538406,-21.07592078645202,-2.747333556229533,-6.584356563523589
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X330109 (Contact 4).mp3,-378.73830362863214,182.6600623793514,-78.38837669866935,-19.96388856696418,-3.476382187926287,-29.484719441822012,-16.110341775059087,-22.144866069645712,3.1116607919776835,1.4968373733688471,-20.589424763550696,6.721166267080159,2.428218898229489
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X320137 (Month 4).mp3,-277.7812717834013,83.08849586376321,-9.697050380158716,5.122894030714515,-19.56424676909934,-1.6677492306144144,-24.978083471321845,-12.718656833247941,-7.759007762927897,2.2188323022879985,-7.387835804045949,3.245645193974703,-5.942718543219241
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X320122 (Contact 26).mp3,-499.18982218551224,100.22765590717752,-28.8190861896433,4.400174397730359,-8.73141007296431,-19.28277979773181,-4.482182126518341,-19.919086948077037,-7.244885448832008,-1.079677860133208,-8.356097281466063,5.779128987495257,0.7389837522883579
