epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,158.363,1.31315,1.21902,1.17365,0.58006,0.7284,0.66451,0.40936,1.65836,1.22003,0.9885,0.000911,0.000911,0.000911
57,160.896,1.2811,1.19648,1.19377,0.64011,0.64198,0.67119,0.42203,1.46184,1.06001,0.70758,0.0008912,0.0008912,0.0008912
58,163.385,1.25122,1.19543,1.19354,0.62162,0.77778,0.69938,0.46376,1.35589,1.09332,0.71684,0.0008714,0.0008714,0.0008714
59,165.947,1.23973,1.10671,1.17542,0.64704,0.72425,0.70411,0.46624,1.32346,1.20252,0.69769,0.0008516,0.0008516,0.0008516
60,168.856,1.31219,1.14809,1.17539,0.61245,0.80247,0.70807,0.4871,1.23587,1.06559,0.71422,0.0008318,0.0008318,0.0008318
61,171.409,1.29518,1.20156,1.19024,0.62186,0.69031,0.68591,0.49478,1.14422,1.0764,0.67392,0.000812,0.000812,0.000812
62,174.453,1.20772,1.10705,1.14587,0.57312,0.79012,0.69268,0.4732,1.27179,1.07087,0.75307,0.0007922,0.0007922,0.0007922
63,177.168,1.20864,1.16969,1.16609,0.58726,0.7284,0.68691,0.47979,1.32355,1.08142,0.71496,0.0007724,0.0007724,0.0007724
64,179.454,1.23536,1.10826,1.14749,0.60824,0.7037,0.66692,0.44008,1.40447,1.05011,0.7378,0.0007526,0.0007526,0.0007526
65,182.151,1.24844,1.13251,1.14894,0.63999,0.74623,0.69483,0.45058,1.4216,1.08068,0.77871,0.0007328,0.0007328,0.0007328
66,184.78,1.19867,1.0774,1.14564,0.67609,0.72157,0.74342,0.48089,1.36984,1.00405,0.7615,0.000713,0.000713,0.000713
67,187.521,1.17305,1.06484,1.13474,0.59866,0.77778,0.73702,0.50128,1.32858,1.00328,0.72103,0.0006932,0.0006932,0.0006932
68,190.277,1.22315,1.13134,1.15712,0.60007,0.7595,0.70758,0.49275,1.33754,1.06425,0.68409,0.0006734,0.0006734,0.0006734
69,192.874,1.20348,1.1167,1.11501,0.63431,0.7037,0.7273,0.49587,1.37571,1.25891,0.77484,0.0006536,0.0006536,0.0006536
70,195.666,1.26022,1.16159,1.13347,0.63043,0.74074,0.6999,0.50916,1.25871,1.12988,0.73813,0.0006338,0.0006338,0.0006338
71,198.543,1.188,1.11914,1.14249,0.65119,0.7145,0.68112,0.47925,1.19492,1.12003,0.71441,0.000614,0.000614,0.000614
72,201.262,1.17436,1.10552,1.10367,0.60658,0.87654,0.72121,0.52061,1.18093,1.01687,0.71212,0.0005942,0.0005942,0.0005942
73,203.974,1.15123,1.09921,1.13148,0.71271,0.67901,0.73164,0.53155,1.18746,1.00463,0.70329,0.0005744,0.0005744,0.0005744
74,206.68,1.20584,1.12598,1.1439,0.65303,0.74074,0.73853,0.46329,1.3692,0.99424,0.79794,0.0005546,0.0005546,0.0005546
75,209.363,1.17927,1.14578,1.1259,0.72764,0.65432,0.70642,0.47321,1.28314,1.10323,0.74071,0.0005348,0.0005348,0.0005348
76,212.119,1.12971,1.08289,1.1019,0.757,0.65383,0.73547,0.49443,1.22879,1.0394,0.72812,0.000515,0.000515,0.000515
77,214.645,1.17324,1.09055,1.1295,0.80186,0.62963,0.74398,0.50441,1.26738,1.04849,0.72379,0.0004952,0.0004952,0.0004952
78,217.219,1.11892,1.04431,1.11774,0.68635,0.69136,0.73063,0.50449,1.26268,1.0444,0.72817,0.0004754,0.0004754,0.0004754
79,220.065,1.13762,1.06323,1.11513,0.71435,0.7037,0.75187,0.51204,1.24538,1.02672,0.73214,0.0004556,0.0004556,0.0004556
80,222.613,1.10635,1.03105,1.0983,0.62406,0.86076,0.75527,0.52714,1.16728,0.99431,0.70918,0.0004358,0.0004358,0.0004358
81,225.121,1.15605,1.075,1.12866,0.6449,0.80247,0.76018,0.51821,1.18547,1.00011,0.73151,0.000416,0.000416,0.000416
82,227.839,1.16034,1.07257,1.12833,0.66905,0.72383,0.7354,0.49879,1.20063,1.07691,0.7289,0.0003962,0.0003962,0.0003962
83,230.303,1.12243,1.0824,1.13709,0.63637,0.76543,0.73707,0.49217,1.22836,1.12848,0.74894,0.0003764,0.0003764,0.0003764
84,233.008,1.10686,1.02631,1.09667,0.68885,0.7037,0.7506,0.50856,1.27863,1.06548,0.75189,0.0003566,0.0003566,0.0003566
85,235.935,1.11943,1.04871,1.1186,0.58788,0.82771,0.75701,0.52478,1.22593,1.0204,0.67586,0.0003368,0.0003368,0.0003368
86,238.477,1.1242,1.0773,1.10428,0.7274,0.69182,0.76951,0.52474,1.31573,0.99792,0.72905,0.000317,0.000317,0.000317
87,240.878,1.15724,1.10928,1.15425,0.69092,0.71754,0.74172,0.51237,1.23798,0.99817,0.68409,0.0002972,0.0002972,0.0002972
88,243.558,1.14349,1.04096,1.10148,0.72064,0.71605,0.73295,0.49579,1.20056,1.06653,0.67304,0.0002774,0.0002774,0.0002774
89,246.225,1.09796,1.01229,1.09385,0.76805,0.65409,0.74316,0.50312,1.30261,1.05135,0.77087,0.0002576,0.0002576,0.0002576
90,248.836,1.07812,0.99511,1.07633,0.77805,0.64922,0.74796,0.51652,1.27917,1.06342,0.75628,0.0002378,0.0002378,0.0002378
91,253.958,0.88908,0.9391,0.94972,0.76995,0.64198,0.71992,0.52212,1.15069,1.07818,0.69722,0.000218,0.000218,0.000218
92,256.711,0.86143,0.78147,0.9126,0.67608,0.69575,0.66654,0.49099,1.12155,1.17533,0.66586,0.0001982,0.0001982,0.0001982
93,259.63,0.87577,0.77558,0.89466,0.69578,0.62124,0.70256,0.49828,1.11106,1.08615,0.64712,0.0001784,0.0001784,0.0001784
94,261.994,0.89659,0.77518,0.88623,0.60655,0.85647,0.72425,0.4937,1.16344,1.06391,0.64872,0.0001586,0.0001586,0.0001586
95,264.441,0.82538,0.74386,0.87624,0.58933,0.90123,0.74819,0.51419,1.15059,1.03772,0.65712,0.0001388,0.0001388,0.0001388
96,267.071,0.78591,0.71134,0.88986,0.64435,0.80524,0.75982,0.53944,1.08821,1.02782,0.64303,0.000119,0.000119,0.000119
97,269.555,0.8176,0.70299,0.87377,0.70382,0.76278,0.76063,0.55696,1.08081,1.0223,0.63764,9.92e-05,9.92e-05,9.92e-05
98,272.144,0.7845,0.68671,0.88045,0.60905,0.90123,0.75974,0.54101,1.13076,0.99788,0.64715,7.94e-05,7.94e-05,7.94e-05
99,274.824,0.78502,0.68325,0.86701,0.59841,0.90143,0.75678,0.53774,1.14436,0.99529,0.64863,5.96e-05,5.96e-05,5.96e-05
100,277.42,0.7671,0.68184,0.87219,0.6265,0.86978,0.76141,0.53965,1.15561,0.99632,0.65481,3.98e-05,3.98e-05,3.98e-05
