epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,292.037,1.07673,1.2332,0.87044,0.65791,0.65432,0.69915,0.38613,1.52318,1.23327,0.53168,0.0009968,0.0009968,0.0009968
78,295.707,1.11802,1.25794,0.88463,0.63536,0.58081,0.63625,0.36435,1.47145,1.22338,0.55362,0.0009836,0.0009836,0.0009836
79,299.358,1.18073,1.24081,0.8784,0.74566,0.65152,0.71102,0.36859,1.52828,1.6765,0.54022,0.0009704,0.0009704,0.0009704
80,303.18,1.09407,1.21978,0.87949,0.66534,0.7037,0.70467,0.38903,1.53527,1.27995,0.53964,0.0009572,0.0009572,0.0009572
81,306.838,1.09717,1.23579,0.87766,0.63866,0.65432,0.67375,0.34719,1.58836,1.28738,0.55221,0.000944,0.000944,0.000944
82,310.517,1.09636,1.19987,0.8714,0.55973,0.70632,0.63989,0.36085,1.5543,1.18076,0.54415,0.0009308,0.0009308,0.0009308
83,314.234,1.04305,1.1734,0.88089,0.66028,0.69136,0.6887,0.36755,1.54289,1.13064,0.54017,0.0009176,0.0009176,0.0009176
84,317.888,1.06986,1.14649,0.87014,0.61067,0.7165,0.72683,0.39296,1.51943,1.08395,0.52673,0.0009044,0.0009044,0.0009044
85,321.612,1.06773,1.1771,0.88082,0.61584,0.69136,0.70214,0.33372,1.6592,1.30263,0.54585,0.0008912,0.0008912,0.0008912
86,325.285,1.04935,1.18524,0.87788,0.76882,0.62963,0.75193,0.37829,1.59137,1.16861,0.55264,0.000878,0.000878,0.000878
87,328.94,1.02602,1.19654,0.88669,0.70892,0.77778,0.79655,0.42973,1.44175,1.17512,0.52689,0.0008648,0.0008648,0.0008648
88,332.908,1.07012,1.16668,0.87357,0.70312,0.67901,0.7082,0.36971,1.61636,1.25934,0.53538,0.0008516,0.0008516,0.0008516
89,336.627,1.04898,1.13241,0.88448,0.6541,0.77045,0.70506,0.39051,1.51487,1.24496,0.53333,0.0008384,0.0008384,0.0008384
90,340.319,1.13746,1.26227,0.87892,0.55188,0.71462,0.60343,0.34539,1.61919,1.18234,0.54719,0.0008252,0.0008252,0.0008252
91,345.225,1.30354,1.24023,0.80597,0.66842,0.64198,0.7229,0.41029,1.4826,1.17551,0.52511,0.000812,0.000812,0.000812
92,348.743,1.25361,1.29828,0.81595,0.76668,0.60854,0.7665,0.44085,1.51304,1.16422,0.51732,0.0007988,0.0007988,0.0007988
93,352.555,1.30381,1.29718,0.80307,0.72459,0.74709,0.79985,0.40181,1.60488,1.32001,0.53062,0.0007856,0.0007856,0.0007856
94,356.059,1.24671,1.33977,0.82965,0.68537,0.69136,0.73187,0.40058,1.53185,1.2236,0.53432,0.0007724,0.0007724,0.0007724
95,359.571,1.32563,1.40088,0.81489,0.69373,0.69136,0.73932,0.42052,1.5879,1.17713,0.54713,0.0007592,0.0007592,0.0007592
96,363.218,1.32686,1.74927,0.80387,0.68489,0.83951,0.78247,0.43703,1.46048,1.22421,0.53614,0.000746,0.000746,0.000746
97,366.692,1.29497,2.09073,0.7877,0.6979,0.59259,0.66419,0.40192,1.4985,1.71615,0.55448,0.0007328,0.0007328,0.0007328
98,370.253,1.24453,1.48575,0.80222,0.71934,0.66667,0.73946,0.43911,1.46357,1.47348,0.5365,0.0007196,0.0007196,0.0007196
99,373.741,1.24255,3.21909,0.76795,0.64815,0.66667,0.72284,0.41789,1.51717,1.31305,0.54759,0.0007064,0.0007064,0.0007064
100,377.251,1.27766,1.42647,0.8281,0.63426,0.68516,0.72116,0.44371,1.46309,1.21534,0.5251,0.0006932,0.0006932,0.0006932
101,380.757,1.23232,2.06843,0.81469,0.59439,0.58025,0.65437,0.40679,1.52538,1.3769,0.52305,0.00068,0.00068,0.00068
102,384.314,1.25279,1.40298,0.81075,0.56462,0.60494,0.6142,0.37328,1.5081,1.28901,0.52497,0.0006668,0.0006668,0.0006668
103,387.862,1.27114,1.47715,0.80794,0.61564,0.63282,0.6439,0.34899,1.53806,1.24831,0.54221,0.0006536,0.0006536,0.0006536
104,391.397,1.25813,1.33232,0.82502,0.60095,0.76543,0.74235,0.39696,1.49133,1.18933,0.5212,0.0006404,0.0006404,0.0006404
105,394.915,1.21299,1.1583,0.81219,0.62189,0.79012,0.76953,0.40088,1.52867,1.13357,0.53668,0.0006272,0.0006272,0.0006272
106,398.353,1.24838,1.32497,0.81345,0.56307,0.79012,0.68163,0.36384,1.54265,1.24088,0.53409,0.000614,0.000614,0.000614
107,401.889,1.26691,1.20878,0.79459,0.68068,0.79012,0.81368,0.43076,1.42365,1.16145,0.52814,0.0006008,0.0006008,0.0006008
108,405.386,1.24202,1.1851,0.78986,0.77439,0.71605,0.83187,0.46923,1.42499,1.06445,0.51276,0.0005876,0.0005876,0.0005876
109,409.084,1.20102,1.13555,0.78884,0.85554,0.6581,0.79461,0.49594,1.39355,1.09687,0.50719,0.0005744,0.0005744,0.0005744
110,412.79,1.21897,1.93585,0.77618,0.68507,0.72511,0.79091,0.50023,1.38508,1.08036,0.51398,0.0005612,0.0005612,0.0005612
111,416.488,1.24855,1.33929,0.81064,0.52379,0.71973,0.64324,0.38178,1.4356,1.16701,0.53603,0.000548,0.000548,0.000548
112,419.986,1.18707,1.18207,0.81267,0.68056,0.62963,0.68531,0.42143,1.4304,1.28669,0.51505,0.0005348,0.0005348,0.0005348
113,423.555,1.23268,1.25487,0.79795,0.69211,0.7037,0.74791,0.41291,1.46363,1.20167,0.5089,0.0005216,0.0005216,0.0005216
114,427.002,1.21349,1.23825,0.80176,0.69798,0.71605,0.78333,0.44229,1.50087,1.14915,0.51334,0.0005084,0.0005084,0.0005084
115,430.6,1.11009,1.68551,0.78429,0.60469,0.81205,0.7723,0.45157,1.36451,1.13483,0.5035,0.0004952,0.0004952,0.0004952
116,434.126,1.1561,1.56282,0.77697,0.70184,0.80247,0.81527,0.49139,1.36379,1.08621,0.51421,0.000482,0.000482,0.000482
117,437.719,1.23331,1.68373,0.77266,0.6669,0.7284,0.77311,0.43351,1.50768,1.41022,0.52174,0.0004688,0.0004688,0.0004688
118,441.254,1.16185,1.53752,0.79311,0.64104,0.77778,0.74226,0.38507,1.47686,1.29829,0.51825,0.0004556,0.0004556,0.0004556
119,444.822,1.18408,1.17624,0.80296,0.66812,0.77047,0.80086,0.45509,1.5457,1.21014,0.52946,0.0004424,0.0004424,0.0004424
120,448.241,1.18735,1.16997,0.79347,0.74326,0.75058,0.78978,0.48379,1.45907,1.09597,0.52219,0.0004292,0.0004292,0.0004292
121,451.894,1.19258,1.27154,0.78952,0.73566,0.77778,0.79736,0.47223,1.43808,1.09645,0.52316,0.000416,0.000416,0.000416
122,455.464,1.15381,1.13788,0.80701,0.62525,0.74154,0.75182,0.42034,1.40587,1.09181,0.52158,0.0004028,0.0004028,0.0004028
123,458.893,1.1358,1.08114,0.79609,0.59569,0.77778,0.77191,0.43542,1.4372,1.07926,0.52642,0.0003896,0.0003896,0.0003896
124,462.446,1.14102,1.12605,0.80728,0.64113,0.77778,0.80298,0.49301,1.36073,1.0631,0.50825,0.0003764,0.0003764,0.0003764
125,465.955,1.20659,1.08433,0.7923,0.78134,0.70584,0.80333,0.472,1.38976,1.07367,0.51279,0.0003632,0.0003632,0.0003632
126,469.468,1.17085,1.15646,0.78439,0.67775,0.79012,0.78287,0.46483,1.41831,1.13466,0.5159,0.00035,0.00035,0.00035
127,472.955,1.14256,1.35053,0.792,0.53642,0.71605,0.69025,0.38957,1.50962,1.25807,0.53876,0.0003368,0.0003368,0.0003368
128,476.484,1.13896,1.42014,0.7822,0.66707,0.8642,0.79694,0.47723,1.37892,1.08934,0.51805,0.0003236,0.0003236,0.0003236
129,480.01,1.14764,1.18861,0.79354,0.71058,0.7037,0.77115,0.47317,1.35561,1.0781,0.51676,0.0003104,0.0003104,0.0003104
130,483.569,1.14584,1.22425,0.80209,0.71857,0.74074,0.76871,0.47773,1.34968,1.10464,0.52628,0.0002972,0.0002972,0.0002972
131,487.926,1.11352,1.09331,0.79296,0.71673,0.79012,0.78117,0.46719,1.41522,1.05882,0.52766,0.000284,0.000284,0.000284
132,491.403,1.13302,1.10759,0.79389,0.70898,0.81207,0.81379,0.47633,1.44529,1.01265,0.5301,0.0002708,0.0002708,0.0002708
133,494.992,1.12676,1.06281,0.79275,0.70852,0.81481,0.81918,0.47225,1.46723,1.04407,0.52674,0.0002576,0.0002576,0.0002576
134,498.438,1.10221,1.35145,0.78768,0.6914,0.8298,0.81638,0.47755,1.45569,1.02759,0.52812,0.0002444,0.0002444,0.0002444
135,502,1.10136,1.04297,0.79784,0.66163,0.82716,0.79764,0.47704,1.46671,1.05725,0.52517,0.0002312,0.0002312,0.0002312
136,505.522,1.04478,1.44747,0.76535,0.68045,0.79012,0.78001,0.48771,1.40235,1.03576,0.53072,0.000218,0.000218,0.000218
137,509.059,1.10909,1.01015,0.78924,0.7319,0.71605,0.76282,0.46362,1.41745,1.02651,0.52276,0.0002048,0.0002048,0.0002048
138,512.535,1.06711,2.25802,0.74047,0.74045,0.70439,0.77848,0.46385,1.42439,1.00084,0.52393,0.0001916,0.0001916,0.0001916
139,516.106,1.0776,1.3591,0.77216,0.72136,0.71605,0.78983,0.46488,1.44452,0.99318,0.5176,0.0001784,0.0001784,0.0001784
140,519.639,1.10968,1.04889,0.78679,0.68007,0.81355,0.79265,0.46415,1.44872,1.01684,0.51793,0.0001652,0.0001652,0.0001652
141,523.158,1.08799,1.04209,0.79058,0.71213,0.79012,0.80182,0.45981,1.4563,0.99881,0.52455,0.000152,0.000152,0.000152
142,526.708,1.0988,0.99687,0.78968,0.70055,0.80247,0.80856,0.4837,1.37377,1.00302,0.51827,0.0001388,0.0001388,0.0001388
143,530.198,1.10094,1.05639,0.78462,0.72672,0.81481,0.8199,0.513,1.34231,0.9937,0.51885,0.0001256,0.0001256,0.0001256
144,533.969,1.09528,1.06497,0.7986,0.69813,0.79948,0.81632,0.5102,1.3578,1.00216,0.519,0.0001124,0.0001124,0.0001124
145,537.441,1.08753,0.98314,0.78589,0.76934,0.74074,0.82282,0.52285,1.37183,0.9989,0.51829,9.92e-05,9.92e-05,9.92e-05
146,541.105,1.07229,1.08945,0.80309,0.75763,0.76543,0.82587,0.5184,1.39418,1.0053,0.51408,8.6e-05,8.6e-05,8.6e-05
147,544.634,1.12088,1.20307,0.80538,0.75328,0.77778,0.81324,0.51188,1.3938,1.01036,0.51074,7.28e-05,7.28e-05,7.28e-05
148,548.154,1.08698,1.47064,0.77659,0.77703,0.77778,0.81149,0.50356,1.39025,1.00968,0.51183,5.96e-05,5.96e-05,5.96e-05
149,551.596,1.03753,1.012,0.79674,0.75804,0.7736,0.81008,0.50261,1.37593,1.0067,0.51915,4.64e-05,4.64e-05,4.64e-05
150,555.132,1.10179,1.09093,0.80387,0.73834,0.76641,0.8077,0.4985,1.36636,0.99746,0.51796,3.32e-05,3.32e-05,3.32e-05
